"id","address","max_val_sent","min_val_sent","avg_val_sent","max_value_received","min_value_received","avg_value_received","txn_fee_in","txn_fee_out","total_txn_fee","gasused_in","gasused_out","failed_txn_in","failed_txn_out","total_failed_txn","success_txn_in","success_txn_out","total_success_txn","std_value_in","mean_in","std_gasprice_in","ap_gasused_in","ap_gasused_out","avg_value_out","avg_value_in","gasprice_in","gasprice_out","gas_used_out","gas_used_in","avg_gasprice_in","avg_gasprice_out","txnsent","txnreceived","total_txn","valueout","valuein","value_difference","per_txnsent","per_txnreceived","distinct_address","unique_txnreceived","unique_txnsent","distinct_recived_address","distinct_sent_address","difftimelast","avg_time","lstvalue","first_txn_value","last_txn_bit","first_txn_bit","mean_in_time","avg_time_in","txn_fee_contract_create","per_gasused_contract_create","gasprice_contract_create","gini_amt_out","gini_amt_in","label"
5514,"0x54bda709fed875224eae569bb6817d96ef7ed9ad","0","0","0","0.96329443","0.0","0.008450828333333334","813369363014858064","0","813369363014858064","4409861","0","7","0","7","107","0","107","0.089824125","0.0084508285","28441445485.251987","31400344.736842107","0","0","0.008450828333333334","3029756828786","0","0","35796393","26576814287.596493","0","0","114","114","0","0.96339443","0","0.0","1.0","0","64","0","86","0","1923355.8166666667","16871.54225146199","0.0","0.96329443","0","0","1923355.8166666667","16871.54225146199","0","0","0","0.9912262146750097","0","0"
3450,"0x47a892bf7336a120ee69b2db6acb552acad5f46d","0","0","0","0.13","0.0","0.0013098938574257427","227315202000000000","0","227315202000000000","5260868","0","5","0","5","96","0","96","0.012871023","0.0013098938","5785178253.329944","9795090.099009901","0","0","0.0013098938574257427","2246000000000","0","0","9893041","22237623762.376236","0","0","101","101","0","0.1322992796","0","0.0","1.0","0","5","0","9","0","533775.4","5284.90495049505","0.0","0.0","0","0","533775.4","5284.90495049505","21548190000000000","1.0","30000000000","0.9897548742748179","0","0"
6298,"0x3d42f7eb6b97ab66d8d44c725651befe02a70e5e","0","0","0","0","0.0","0.0","356810757471410993","0","356810757471410993","14608678","0","0","0","0","334","0","334","0.0","0.0","3780634456.045203","5238718.263473054","0","0","0.0","6812763922347","0","0","17497319","20397496773.49401","0","0","334","334","0","0.0","0","0.0","1.0","0","328","0","331","0","458428.4666666667","1372.5403193612774","0.0","0.0","0","0","458428.4666666667","1372.5403193612774","4824360000000000","1.0","20000000000","NaN","0","0"
5068,"0xf054d4bab1cd5726756cf5417565fd446255b279","0","0","0","0","0.0","0.0","25226451000000000","0","25226451000000000","2618056","0","7","0","7","4","0","4","0.0","0.0","8177776779.654188","23800536.363636363","0","0","0.0","112000000000","0","0","2618059","10181818181.818182","0","0","11","11","0","0.0","0","0.0","1.0","0","0","0","1","0","944.3333333333334","85.84848484848486","0.0","0.0","0","0","944.3333333333334","85.84848484848486","15710772000000000","1.0","21000000000","NaN","0","0"
3008,"0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056","0.02","0.0","0.000022026431718061676","0.02","0.0","0.000022002200220022003","6769367800054182148","6724744640054182148","13494112440108364296","74543486","72684188","71","71","142","838","837","1675","0.00066299335","0.0000220022","25516833186.80469","18465368.97689769","18239983.039647575","0.000022026431718061676","0.000022002200220022003","36691373980671","36671373980671","165619046","167850204","40364547833.521454","40386975749.637665","908","909","1817","0.02","0.02","0","0.49972482113373695","0.500275178866263","0","48","0","94","1","2112986.1333333333","2324.5171983865052","0.0","0.0","0","0","2112986.1333333333","2324.5171983865052","37185960000000000","0.8333331839340826","20000000000","0.9988998899889989","0.9988986784140974","0"
5826,"0xdc20b371ec6c7e911df545ea56bb9397f1272317","0","0","0","0.1","0.0","0.017291052631578947","71672649810210000","0","71672649810210000","1760056","0","3","0","3","16","0","16","0.03600251","0.017291054","585200411.4428937","18618031.57894737","0","0","0.017291052631578947","388728119745","0","0","3537426","20459374723.42105","0","0","19","19","0","0.32853","0","0.0","1.0","0","1","0","4","0","21515.45","1132.3921052631579","0.01353","0.0","0","0","21515.45","1132.3921052631579","17711140000000000","0.6666669176073806","20000000000","0.8174148530490484","0","0"
1846,"0xd3ba32dd207db75f535001fac749c925423d8a6f","0","0","0","1998.0","0.0","58.77955882352941","1835259038212283381","0","1835259038212283381","20402565","0","5","0","5","63","0","63","337.57495","58.77956","76993018149.35178","35194304.4117647","0","0","58.77955882352941","5352365277145","0","0","23932127","78711254075.66176","0","0","68","68","0","3997.01","0","0.0","1.0","0","3","0","10","0","1756680.6333333333","25833.538725490194","0.0","0.0","0","0","1756680.6333333333","25833.538725490194","7196151000000000","1.0","3000000000","0.9705770088200452","0","0"
5291,"0xdda65daa223aaae4add64e4e390cda7101c4ab41","0","0","0","0.05","0.0","0.012903225806451611","222021611505000000","0","222021611505000000","3894230","0","4","0","4","27","0","27","0.021878485","0.012903227","588839005.6186765","34116129.03225806","0","0","0.012903225806451611","627360838540","0","0","10576000","20237446404.51613","0","0","31","31","0","0.39999999999999997","0","0.0","1.0","0","0","0","5","0","8491.783333333333","273.9284946236559","0.0","0.0","0","0","8491.783333333333","273.9284946236559","15672993951976002","0.15153127659574467","22006543066","0.7419353516832592","0","0"
4831,"0x1a0da9ddec1fea406f470b76ded30abe17abbc87","0","0","0","0","0.0","0.0","29501830000000000","0","29501830000000000","1442403","0","1","0","1","12","0","12","0.0","0.0","4529979035.1801405","12363307.692307692","0","0","0.0","256000000000","0","0","1607230","19692307692.307693","0","0","13","13","0","0.0","0","0.0","1.0","0","1","0","2","0","28988.016666666666","2229.847435897436","0.0","0.0","0","0","28988.016666666666","2229.847435897436","15076929000000000","0.9999986071453444","21000000000","NaN","0","0"
4152,"0x1dea4cA1Ca2A2c946B233a227883ef6846CF17d5","0.0959","0.0","0.01159","0.0959","0.0","0.010536363636363637","34429334000000000","16429334000000000","50858668000000000","1232967","414297","2","2","4","9","8","17","0.02759388","0.010536363","9714094726.92316","15777154.545454545","8354870.0","0.01159","0.010536363636363637","242000000000","222000000000","835487","1735487","22000000000.0","22200000000.0","10","11","21","0.1159","0.1159","0","0.47619047619047616","0.5238095238095238","0","4","0","6","1","1691572.7166666666","153779.33787878786","0.0","0.0","0","0","1691572.7166666666","153779.33787878786","16373400000000000","0.9096333333333333","20000000000","0.877715962910238","0.8654875527728054","0"
4700,"0x190fb342aa6a15eb82903323ae78066ff8616746","0","0","0","0.015","0.0","0.0000047273873306019535","3353919412441521509","0","3353919412441521509","134836323","0","67","0","67","3106","0","3106","0.00026624888","0.000004727387","15552993863.239538","9101223.132682003","0","0","0.0000047273873306019535","37675748781736","0","0","288781810","11873857164.114717","0","0","3173","3173","0","0.015","0","0.0","1.0","0","510","0","700","0","2092997.25","659.627245508982","0.0","0.0","0","0","2092997.25","659.627245508982","651310000000000","0.8668979956369599","1000000000","0.9996848408446264","0","0"
6082,"0x73f0608566464c09bb0edb156c22cb781c9c4484","0","0","0","0","0.0","0.0","225169625000000000","0","225169625000000000","4817134","0","5","0","5","80","0","80","0.0","0.0","465561386.7625736","13234696.470588237","0","0","0.0","1707000000000","0","0","11249492","20082352941.17647","0","0","85","85","0","0.0","0","0.0","1.0","0","1","0","4","0","84833.03333333334","998.0356862745099","0.0","0.0","0","0","84833.03333333334","998.0356862745099","13345060000000000","0.16681325","20000000000","NaN","0","0"
5419,"0x4bd4afa9b213b5184c995aaef4982ce564121d20","0","0","0","0","0.0","0.0","634000000000000000","0","634000000000000000","2361648","0","2","0","2","17","0","17","0.0","0.0","0.0","166842105.26315787","0","0","0.0","380000000000","0","0","31700000","20000000000.0","0","0","19","19","0","0.0","0","0.0","1.0","0","0","0","1","0","39117.433333333334","2058.8122807017544","0.0","0.0","0","0","39117.433333333334","2058.8122807017544","13293520000000000","0.2461762962962963","20000000000","NaN","0","0"
2017,"0xa39fcb48adf288f143459d57a1a0756718c919ae","0","0","0","8.5","0.0","0.7511496740740741","426590772589506956","0","426590772589506956","3037680","0","0","0","0","54","0","54","1.5290642","0.75114965","29305644392.16061","15689075.925925927","0","0","0.7511496740740741","2212082596106","0","0","8472101","40964492520.48148","0","0","54","54","0","40.5620824","0","0.0","1.0","0","12","0","22","0","2903936.6","53776.6037037037","0.0006942","0.0","0","0","2903936.6","53776.6037037037","27697309403500000","0.7747529603092191","80525500000","0.7480338257545407","0","1"
1458,"0x07ee55aa48bb72dcc6e9d78256648910de513eca","0","0","0","250000.0","0.0","6873.682810807182","11379478278376880000","0","11379478278376880000","41361926","0","22","0","22","730","0","730","18467.316","6873.6826","79855032842.21555","22484770.478723403","0","0","6873.682810807182","50051097761076","0","0","169085474","66557310852.49468","0","0","752","752","0","5169009.473727001","0","0.0","1.0","0","7","0","12","0","2653747.0166666666","3528.918905141844","4000.0","0.0","0","0","2653747.0166666666","3528.918905141844","9298380000000000","0.8229834719667776","20000000000","0.846447656077209","0","0"
5331,"0xd1c37dffd4ef36867c5bd7e59566358ea3d21e63","0","0","0","0.01","0.0","0.0020384615384615385","37500942000000000","0","37500942000000000","1049950","0","7","0","7","19","0","19","0.0038975412","0.0020384614","1855744320.279203","6921034.615384616","0","0","0.0020384615384615385","564000000000","0","0","1799469","21692307692.307693","0","0","26","26","0","0.053000000000000005","0","0.0","1.0","0","3","0","6","0","507998.0833333333","19538.38782051282","0.0","0.0","0","0","507998.0833333333","19538.38782051282","4424380000000000","0.6886859121035804","20000000000","0.7902758773148586","0","0"
4602,"0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74","0","0","0","0","0.0","0.0","19834472728392539910","0","19834472728392539910","466482621","0","128","0","128","9872","0","9872","0.0","0.0","14070286316.076027","9096613.27","0","0","0.0","224010814828336","0","0","909661327","22401081482.8336","0","0","10000","10000","0","0.0","0","0.0","1.0","0","1326","0","1928","0","93132.21666666666","9.313221666666665","0.0","0.0","0","0","93132.21666666666","9.313221666666665","16559991000000000","0.9999987318849769","21000000000","NaN","0","0"
6277,"0x33720000b3b3bd4b631b76f85049306be257ddc7","0","0","0","0.06","0.0","0.0060680000000000005","58723015000054006","0","58723015000054006","3677503","0","1","0","1","10","0","10","0.017063465","0.006068","9957762037.326284","58871454.54545454","0","0","0.0060680000000000005","127000000001","0","0","6475860","11545454545.545454","0","0","11","11","0","0.066748","0","0.0","1.0","0","4","0","6","0","591997.2333333333","53817.9303030303","0.0","0.0","0","0","591997.2333333333","53817.9303030303","16328160000000000","0.544272","20000000000","0.8491748583649645","0","0"
6441,"0xa8fa462e08282f48756a672a03d0e10e154ed2af","0","0","0","0","0.0","0.0","216331999387120000","0","216331999387120000","5432994","0","4","0","4","11","0","11","0.0","0.0","851303848.536595","71600000.0","0","0","0.0","305824351240","0","0","10740000","20388290082.666668","0","0","15","15","0","0.0","0","0.0","1.0","0","0","0","1","0","2763.4666666666667","184.23111111111112","0.0","0.0","0","0","2763.4666666666667","184.23111111111112","13366960000000000","0.4773914285714286","20000000000","NaN","0","0"
